Hospital,Operations,Survivors,Deaths,SurvivalRate
London - Harley Street ,418,413,5,0.988038278
Leicester,607,593,14,0.97693575
Newcastle,668,653,15,0.97754491
Glasgow,760,733,27,0.964473684
Southampton,829,815,14,0.983112183
Bristol,835,821,14,0.983233533
Dublin,983,960,23,0.976602238
Leeds,1038,1016,22,0.978805395
London - Brompton,1094,1075,19,0.982632541
Liverpool,1132,1112,20,0.982332155
London - Evelina,1220,1185,35,0.971311475
Birmingham,1457,1421,36,0.975291695
London - Great Ormond Street,1892,1873,19,0.989957717
